"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","UsdlK","lcr4fd href","Cw1rxd","R8c4Qb","Cw1rxd 2","R8c4Qb 2","Jn12ke src","ah5Ghc","ah5Ghc 2","ah5Ghc 3"
"https://www.google.com/maps/place/Manchester+Roofers+LTD/data=!4m7!3m6!1s0x487bb7db693967ad:0xee7b4dccaa618bcb!8m2!3d53.4717225!4d-2.1311153!16s%2Fg%2F11rggqthtq!19sChIJrWc5adu3e0gRy4thqsxNe-4?authuser=0&hl=en&rclk=1","Manchester Roofers LTD","5.0","(77)","Roofing contractor","·","294 Audenshaw Rd","Open","·","· Closes 6 pm","+44 161 726 5069","https://manchesterroofersltd.co.uk/?utm_source=gbp_listing&utm_medium=organic","","Website","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Fixed our leaking","roof","and replaced damaged guttering all in one day."""
"https://www.google.com/maps/place/Sterling+Roofing+Contractors+Ltd.+-+Manchester/data=!4m7!3m6!1s0x487bb16d7510b18b:0x3ef599cd206a6c3!8m2!3d53.4609079!4d-2.1700074!16s%2Fg%2F11m6f27xdm!19sChIJi7EQdW2xe0gRw6YG0pxZ7wM?authuser=0&hl=en&rclk=1","Sterling Roofing Contractors Ltd. - Manchester","5.0","(18)","Roofing contractor","·","Sir Gerald Kaufman Cl","Open 24 hours","·","","+44 161 390 0513","https://www.sterlingroofingmanchester.co.uk/","","Website","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Really happy with it they came and did my","roof","in 3 days looks great."""
"https://www.google.com/maps/place/Delta+Roof+Repairs+Limited/data=!4m7!3m6!1s0x487bb1bcd0ee6d5d:0xe6683c524ade4e93!8m2!3d53.4811375!4d-2.2260216!16s%2Fg%2F11y4bjffw5!19sChIJXW3u0Lyxe0gRk07eSlI8aOY?authuser=0&hl=en&rclk=1","Delta Roof Repairs Limited","5.0","(56)","Roofing contractor","·","134 Great Ancoats St","Open 24 hours","·","","+44 7480 156010","http://deltaroofingrepairs.co.uk/","","Website","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""They finished our","roof","ahead of time, and it looks amazing."""
"https://www.google.com/maps/place/Safeguard+Roofing/data=!4m7!3m6!1s0x487bac2a5990c265:0x7d830d3b1c4c8f98!8m2!3d53.4527641!4d-2.3181579!16s%2Fg%2F1txc6lb3!19sChIJZcKQWSqse0gRmI9MHDsNg30?authuser=0&hl=en&rclk=1","Safeguard Roofing","5.0","(115)","Roofing contractor","·","20 Melville Rd","Open","· Closes 7 pm","·","+44 7759 852170","","","Directions","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Excellent workmanship, very reasonable price, and good communication.""","",""
"https://www.google.com/maps/place/Manchester+%26+Ashton+Roofing+Co.Ltd/data=!4m7!3m6!1s0x487bb14c97038365:0x6611baec80c47ced!8m2!3d53.4729866!4d-2.1608469!16s%2Fg%2F1tdk03sc!19sChIJZYMDl0yxe0gR7XzEgOy6EWY?authuser=0&hl=en&rclk=1","Manchester & Ashton Roofing Co.Ltd","4.5","(48)","Roofing contractor","·","1353 Ashton Old Rd","","","","+44 161 370 6571","http://www.manchesterandashton-roofing.co.uk/","","Website","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""The quality of the work is great and appropriate for the","repairs","needed."""
"https://www.google.com/maps/place/BDS+Roofing+Ltd+-+Roof+repair+Manchester+and+roofer+Tameside./data=!4m7!3m6!1s0x6894d9df31ca6797:0xfc8c4e9409dcf450!8m2!3d53.5022041!4d-2.2831853!16s%2Fg%2F11vr5qrwy5!19sChIJl2fKMd_ZlGgRUPTcCZROjPw?authuser=0&hl=en&rclk=1","BDS Roofing Ltd - Roof repair Manchester and roofer Tameside.","5.0","(17)","Roofing contractor","","·","Open 24 hours","","","+44 7852 452142","https://www.bdsroofingltd.co.uk/","","Website","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Did a top job on my","roof","dropping my chinmey wouldn’t go anywhere else  👍"""
"https://www.google.com/maps/place/ASAP+ROOFING/data=!4m7!3m6!1s0x487bb112f439f71f:0x59dc152a2f6935d0!8m2!3d53.4761986!4d-2.2506167!16s%2Fg%2F11wqjjxzbp!19sChIJH_c59BKxe0gR0DVpLyoV3Fk?authuser=0&hl=en&rclk=1","ASAP ROOFING","5.0","(16)","Roofing contractor","·","283 Deansgate","Open 24 hours","·","","+44 7476 899564","https://asaproofingandguttering.co.uk/","","Website","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""The","repair","was completed efficiently and left everything clean and tidy."""
"https://www.google.com/maps/place/Alpine+Roofers+Manchester+-+Roof+Repairs/data=!4m7!3m6!1s0x487bb172e6c9a341:0xc288f17042a526f1!8m2!3d53.4819152!4d-2.2446592!16s%2Fg%2F11tjm009br!19sChIJQaPJ5nKxe0gR8SalQnDxiMI?authuser=0&hl=en&rclk=1","Alpine Roofers Manchester - Roof Repairs","3.7","(3)","Roofing contractor","·","Cross St","Open","","· Closes 10 pm","","http://alpineroofers.co.uk/manchester","","Website","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Repaired the","roof","on my hairdressers in Manchester."""
"https://www.google.com/maps/place/Best+Roofers+LTD/data=!4m7!3m6!1s0x41cf51b3d715bcfb:0x1a47965af7094619!8m2!3d53.4594473!4d-2.286616!16s%2Fg%2F11xw10n4kw!19sChIJ-7wV17NRz0ERGUYJ91qWRxo?authuser=0&hl=en&rclk=1","Best Roofers LTD","5.0","(11)","Roofing contractor","·","11 Warwick Rd","Open","·","· Closes 6 pm","+44 161 951 7958","https://best-roofers.co.uk/","","Website","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""great job finished to high standard.""","",""
"https://www.google.com/maps/place/MG+Roofing+%26+services+LTD/data=!4m7!3m6!1s0x6634e17179e5e06b:0xb37019d095b461a1!8m2!3d52.5477492!4d-1.6102308!16s%2Fg%2F11v48sy9yx!19sChIJa-DleXHhNGYRoWG0ldAZcLM?authuser=0&hl=en&rclk=1","MG Roofing & services LTD","4.9","(86)","Roofing contractor","","·","Open 24 hours","","","+44 7514 471046","https://mgroofingservices.com/","","Website","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""They explained the issue clearly and fixed the","roof","quickly and efficiently."""
"https://www.google.com/maps/place/Roof+Repairs+Manchester/data=!4m7!3m6!1s0x487bb154ef022ac3:0x45cddc8c9017cc3b!8m2!3d53.4608995!4d-2.206945!16s%2Fg%2F11nc28zxdy!19sChIJwyoC71Sxe0gRO8wXkIzczUU?authuser=0&hl=en&rclk=1","Roof Repairs Manchester","","","Roofing contractor","·","378 Stockport Rd","Open 24 hours","·","","+44 161 327 0204","https://www.roofrepairsmanchester.co.uk/","","Website","","Directions","","","",""
"https://www.google.com/maps/place/M60+Roofing+Ltd/data=!4m7!3m6!1s0x487af7652e4a1483:0xe699694df69a70a6!8m2!3d53.4810652!4d-2.2261419!16s%2Fg%2F11rycsr39z!19sChIJgxRKLmX3ekgRpnCa9k1pmeY?authuser=0&hl=en&rclk=1","M60 Roofing Ltd","4.8","(16)","Roofing contractor","·","83 Ducie St","Open","·","· Closes 8 pm","+44 7404 574168","http://www.m60roofingltd.co.uk/","","Website","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Excellent workmanship on our new","roof","installation."""
"https://www.google.com/maps/place/All+Guard+Roofing+Ltd+%E2%80%93+Roofing+Contractor+in+Manchester/data=!4m7!3m6!1s0x487bad58f422b063:0xfbf1ab8078d2ae69!8m2!3d53.3896322!4d-2.3475001!16s%2Fg%2F11xftlb2v5!19sChIJY7Ai9Fite0gRaa7SeICr8fs?authuser=0&hl=en&rclk=1","All Guard Roofing Ltd – Roofing Contractor in Manchester","5.0","(50)","Roofing contractor","·","31 Stamford St","Open 24 hours","·","","+44 161 706 1911","https://allguardroofing.co.uk/","","Website","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""We needed to fix our","roof","urgently and they did a fantastic job!"""
"https://www.google.com/maps/place/Manchester+Roofing+Repairs/data=!4m7!3m6!1s0x487bb223087d51ed:0xd856c2d9d33b2bd!8m2!3d53.4520966!4d-2.3266289!16s%2Fg%2F1tq4qn0w!19sChIJ7VF9CCOye0gRvbIznS1shQ0?authuser=0&hl=en&rclk=1","Manchester Roofing Repairs","4.5","(2)","Roofing contractor","·","118 Derbyshire Ave","Open 24 hours","·","","+44 161 225 4190","https://www.manchesterroofing.co.uk/","","Website","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Fast response, fair pricing, and the","repair","looks solid."""
"https://www.google.com/maps/place/CI+Group/data=!4m7!3m6!1s0x487ba510189fccaf:0x9eb2879589da0646!8m2!3d53.571751!4d-2.311855!16s%2Fg%2F1pxq991wy!19sChIJr8yfGBCle0gRRgbaiZWHsp4?authuser=0&hl=en&rclk=1","CI Group","4.9","(1,219)","Conservatory Contractor","·","Eton Hill Road","Closes soon","· 5 pm · Opens 11 am Sun","·","0800 180 4000","https://www.google.com/aclk?sa=L&ai=DChsSEwjPv_mapImUAxVTnFAGHYTMNsgYACICCAEQAxoCZGc&ae=2&aspm=1&co=1&ase=2&gclid=CjwKCAjwzLHPBhBTEiwABaLsStRfQ43n5eVETnr8moYiXf0T2NXStIjtXF1ASXkmtRvC2Mq_639PNhoC4IAQAvD_BwE&cid=CAASugHkaJ3dvShxbdlxySVulzZzm_uAZjwEw2YkPqnpjaS3kfEL7FFr22x35eqx9bbhXQN4nLA6jwAPdw6-ulvoBDpLgctHwx4NwpEst-WbvF-XNucs1PKqncST6FTQ5Esa19tReQqjwJEF_TDqEHBJcDnGkeCmSaBF7cOCIcW1HN-N0wL-8gIV08BXLJ0xdipy0EG3UEPPCaN8kgJFpon3F9iiECN9kZ74aLdFOL_vNeBQCbrzoRtbO1DBhf0&cce=2&category=acrcp_v1_35&sig=AOD64_1sVMojhHMStJfVZs6dVrwwngXhmA&adurl&q&ctype=99&nis=6","","Website","","Directions","","","",""
"https://www.google.com/maps/place/Guttermaster+Ltd/data=!4m7!3m6!1s0x487bbc000425fb99:0xecf7a6a4b6432d70!8m2!3d53.631698!4d-2.172492!16s%2Fg%2F1tvw4h0s!19sChIJmfslBAC8e0gRcC1DtqSm9-w?authuser=0&hl=en&rclk=1","Guttermaster Ltd","5.0","(2)","Manufacturer","·","Unit 8 Shawclough Trading Estate, Healey Works","Closed","· Opens 8 am Mon","·","01706 869550","https://www.google.com/aclk?sa=L&ai=DChsSEwjPv_mapImUAxVTnFAGHYTMNsgYACICCAEQABoCZGc&co=1&ase=2&gclid=CjwKCAjwzLHPBhBTEiwABaLsStmNmma1FiB-kTaholn6LDWeWbrxQ2znQaXejlqqhiX3zjJH1SHkrxoCi4gQAvD_BwE&cid=CAASugHkaJ3dvShxbdlxySVulzZzm_uAZjwEw2YkPqnpjaS3kfEL7FFr22x35eqx9bbhXQN4nLA6jwAPdw6-ulvoBDpLgctHwx4NwpEst-WbvF-XNucs1PKqncST6FTQ5Esa19tReQqjwJEF_TDqEHBJcDnGkeCmSaBF7cOCIcW1HN-N0wL-8gIV08BXLJ0xdipy0EG3UEPPCaN8kgJFpon3F9iiECN9kZ74aLdFOL_vNeBQCbrzoRtbO1DBhf0&cce=2&category=acrcp_v1_32&sig=AOD64_1DXDoYxWx8JWkaAhDLwn6ZN6LGEg&adurl&q&ctype=99&nis=6","","Website","","Directions","","","",""
"https://www.google.com/maps/place/EVOLUTION+ROOFING+%28EVO+ROOFING+LIMITED%29/data=!4m7!3m6!1s0x620013ee35febd4d:0x9917a3b2a981197a!8m2!3d53.5084722!4d-2.3342766!16s%2Fg%2F11rsphj1w8!19sChIJTb3-Ne4TAGIRehmBqbKjF5k?authuser=0&hl=en&rclk=1","EVOLUTION ROOFING (EVO ROOFING LIMITED)","4.9","(136)","Roofing contractor","·","1a Broom St","Closes soon","·","· 5 pm · Opens 7 am Mon","+44 7394 226502","http://www.evolutionroofing.co.uk/","","Website","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Christian and the lads did a fantastic job replacing my","roof","."""
"https://www.google.com/maps/place/C.B+Roofing+Limited/data=!4m7!3m6!1s0x8981f66b8d908291:0x3e5e2fa232aed246!8m2!3d53.4852891!4d-2.233649!16s%2Fg%2F11s0t44ynw!19sChIJkYKQjWv2gYkRRtKuMqIvXj4?authuser=0&hl=en&rclk=1","C.B Roofing Limited","4.7","(27)","Roofing contractor","·","1st Flr, Swan Buildings, Swan St","Closed","·","· Opens 12 am Mon","+44 7584 864596","http://northwest-roofing.co.uk/","","Website","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""They did an excellent job on our","roof",", so reliable and a very good price too"""
"https://www.google.com/maps/place/Roof+Plus+Uk+Ltd/data=!4m7!3m6!1s0x487bb17559deaaab:0x5d327055117e5497!8m2!3d53.4775442!4d-2.2116257!16s%2Fg%2F11vx3mz5s9!19sChIJq6reWXWxe0gRl1R-EVVwMl0?authuser=0&hl=en&rclk=1","Roof Plus Uk Ltd","5.0","(1)","Roofing contractor","·","14 Alderman Square","Open 24 hours","","·","+44 7393 997535","","","Directions","","","","","",""
"https://www.google.com/maps/place/All+Seasons+Roofing+Ltd/data=!4m7!3m6!1s0x487bb1bf1ff37f79:0xe4200517ee8d024a!8m2!3d53.4818351!4d-2.2353319!16s%2Fg%2F11vzbmcm_0!19sChIJeX_zH7-xe0gRSgKN7hcFIOQ?authuser=0&hl=en&rclk=1","All Seasons Roofing Ltd","2.0","(4)","Roofing contractor","·","19 Lever St","Open 24 hours","","·","+44 7879 153463","","","Directions","","","","","",""
"https://www.google.com/maps/place/Manchester+Roofing/data=!4m7!3m6!1s0x487bb24c7193a39b:0x61c7c2510da050da!8m2!3d53.4289897!4d-2.2126032!16s%2Fg%2F11c1q9j2ch!19sChIJm6OTcUyye0gR2lCgDVHCx2E?authuser=0&hl=en&rclk=1","Manchester Roofing","5.0","(2)","Roofing contractor","·","11 Westbank Rd","Open 24 hours","·","","+44 7855 534146","http://manchesterdampproofing.com/","","Website","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""The work was done to a high standard and he kept us updated throughout.""","",""
"https://www.google.com/maps/place/G+%26+D+Roofing+%26+Guttering/data=!4m7!3m6!1s0x487bb20161440783:0xa5037363fd8c68aa!8m2!3d53.4569405!4d-2.2590143!16s%2Fg%2F1vd94n2c!19sChIJgwdEYQGye0gRqmiM_WNzA6U?authuser=0&hl=en&rclk=1","G & D Roofing & Guttering","4.2","(10)","Roofing contractor","·","2 Whalley Rd","Open 24 hours","·","","+44 7909 652020","https://gdroofingmanchester.lovable.app/","","Website","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""He came promptly, assessed the work and the quote was v reasonable.""","",""
"https://www.google.com/maps/place/Oakwood+Roofing+%26+Guttering+Ltd./data=!4m7!3m6!1s0x487bb17800f30001:0x406c5af0cecf0ec!8m2!3d53.4672832!4d-2.2109282!16s%2Fg%2F11vzbm7699!19sChIJAQDzAHixe0gR7PDsDK_FBgQ?authuser=0&hl=en&rclk=1","Oakwood Roofing & Guttering Ltd.","4.6","(11)","Roofing contractor","·","6 Stansby Gardens","Open 24 hours","·","","+44 7823 722402","https://oakwoodroofingandgutteringltd.co.uk/","","Website","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""A fantastic job done at a good price.""","",""
"https://www.google.com/maps/place/Manchester+Flat+Roof+Solutions+Ltd./data=!4m7!3m6!1s0x487bac3654140c1b:0xc88f630482201152!8m2!3d53.435143!4d-2.3207765!16s%2Fg%2F1hc4bgm3l!19sChIJGwwUVDase0gRUhEgggRjj8g?authuser=0&hl=en&rclk=1","Manchester Flat Roof Solutions Ltd.","4.4","(14)","Roofing contractor","·","Bradley Ln","Closed","·","· Opens 8 am Mon","+44 7770 303009","https://www.manchesterflatroofs.com/","","Website","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Restored my faith in","roofers","!"""
"https://www.google.com/maps/place/Capital+Roofing+Contractors+Ltd/data=!4m7!3m6!1s0x6350ce8d6baeffe3:0xff4fbcd7fcfade45!8m2!3d53.3703001!4d-2.5083838!16s%2Fg%2F11l73wjn8d!19sChIJ4_-ua43OUGMRRd76_Ne8T_8?authuser=0&hl=en&rclk=1","Capital Roofing Contractors Ltd","4.9","(43)","Roofing contractor","","·","Open 24 hours","","","+44 7498 639586","https://www.capitalroofing-contractors.co.uk/","","Website","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""They finished on time, kept the area clean, and the","roof","looks excellent."""
"https://www.google.com/maps/place/Manchester+paving+and+roofing+Ltd/data=!4m7!3m6!1s0x487bb1fca3856907:0xda5bd02b890e7fe2!8m2!3d53.5297913!4d-2.1923578!16s%2Fg%2F11gvrkrdvr!19sChIJB2mFo_yxe0gR4n8OiSvQW9o?authuser=0&hl=en&rclk=1","Manchester paving and roofing Ltd","4.7","(20)","Roofing contractor","·","Victoria Ave E","Open 24 hours","·","","+44 7405 171517","https://mcrpavingandroofinglimited.co.uk/","","Website","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""The work was completed effectively and efficiently.""","",""
"https://www.google.com/maps/place/Premier+Roofing+Manchester+Limited/data=!4m7!3m6!1s0x411428f7bce40f41:0xfb1973ffdcbe7a2c!8m2!3d53.4722454!4d-2.2234628!16s%2Fg%2F11wmwd6ywc!19sChIJQQ_kvPcoFEERLHq-3P9zGfs?authuser=0&hl=en&rclk=1","Premier Roofing Manchester Limited","5.0","(33)","Roofing contractor","","·","Open 24 hours","","","+44 161 399 8461","https://www.premierroofingmanchesterltd.co.uk/","","Website","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Excellent Job, Great Price and faultless work.""","",""
"https://www.google.com/maps/place/GAP+Roofing+Services+Ltd/data=!4m7!3m6!1s0x487ba5dd943c1369:0x85ff82d2073e01a2!8m2!3d53.4832037!4d-2.2157519!16s%2Fg%2F11x9hw87_!19sChIJaRM8lN2le0gRogE-B9KC_4U?authuser=0&hl=en&rclk=1","GAP Roofing Services Ltd","4.1","(15)","Roofing contractor","·","·","Closed","125-133 Pollard St","· Opens 7 am Mon","+44 161 850 0602","http://www.gaproofing.co.uk/","","Website","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Excellent, professional service""","",""
"https://www.google.com/maps/place/Roofing+Pro+Manchester+NW/data=!4m7!3m6!1s0x2d99e6c0b953c9fd:0x4b877fccc41422f8!8m2!3d53.2458687!4d-2.5427556!16s%2Fg%2F11xg3q0ng9!19sChIJ_clTucDmmS0R-CIUxMx_h0s?authuser=0&hl=en&rclk=1","Roofing Pro Manchester NW","5.0","(45)","Roofing contractor","","·","Open 24 hours","","","+44 7310 409236","https://www.roofingpromanchesternw.co.uk/","","Website","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Their team was polite, efficient and did a fantastic job on my","roof","."""
"https://www.google.com/maps/place/Chestnut+Roofing+Solutions+Ltd/data=!4m7!3m6!1s0x4df19bc013bdc261:0x633068046b1a14b8!8m2!3d53.4356159!4d-2.2436435!16s%2Fg%2F11lzkjyb9x!19sChIJYcK9E8Cb8U0RuBQaawRoMGM?authuser=0&hl=en&rclk=1","Chestnut Roofing Solutions Ltd","5.0","(5)","Roofing contractor","·","134 Whitchurch Rd","Closes soon","·","· 5 pm · Opens 9 am Mon","+44 161 452 0692","https://chestnutroofingsolutions.co.uk/","","Website","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Chestnut","roofing","come out and give me a quote which was a fair price."""
"https://www.google.com/maps/place/GD+Roofing/data=!4m7!3m6!1s0x487bb1c76cf5a3f1:0x4077503b6005e2b6!8m2!3d53.4780572!4d-2.2485959!16s%2Fg%2F11wngf6xz_!19sChIJ8aP1bMexe0gRtuIFYDtQd0A?authuser=0&hl=en&rclk=1","GD Roofing","5.0","(4)","Roofing contractor","·","32 Peter St","Closes soon","·","· 5 pm · Opens 9 am Sun","+44 7517 774836","http://roofing-specialists.co.uk/","","Website","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Great service, very reliable and gets the job done, no messing.""","",""
"https://www.google.com/maps/place/Kennedy+Roofing+%26+Co+Ltd+Manchester/data=!4m7!3m6!1s0x487bb311399abb4f:0x914cad75cf9eb9fd!8m2!3d53.4150722!4d-2.2328992!16s%2Fg%2F11xclj6_n_!19sChIJT7uaORGze0gR_bmez3WtTJE?authuser=0&hl=en&rclk=1","Kennedy Roofing & Co Ltd Manchester","","","Roofing contractor","·","Office 45, 792 Wilmslow Rd","Open 24 hours","·","","+44 161 841 7053","https://kennedyroofingmanchester.co.uk/","","Website","","Directions","","","",""
